day,site_code,age,prob.inf,code.new
1,S1,5,7.420418609654207e-4,MNJ.06
1,S1,13,0.0011367626109279464,MNJ.06
1,S1,18,9.48064707250268e-4,MNJ.06
1,S1,27,4.196721622727601e-4,MNJ.06
1,S2,5,0.002234791002354879,MNJ.07
1,S2,13,0.0034222018083353255,MNJ.07
1,S2,18,0.002854672984563104,MNJ.07
1,S2,27,0.001264327767994055,MNJ.07
1,S3,5,0.0031995642178789677,MNJ.08
1,S3,13,0.004898327908630606,MNJ.08
1,S3,18,0.004086504586131408,MNJ.08
1,S3,27,0.0018105261803557568,MNJ.08
1,S5,5,0.0036695755134650366,MNJ.09
1,S5,13,0.005617181064154647,MNJ.09
1,S5,18,0.004686499530406209,MNJ.09
1,S5,27,0.0020767024176822054,MNJ.09
1,S6,5,0.00856225336214411,MNJ.10
1,S6,13,0.013089504050014833,MNJ.10
1,S6,18,0.010927594777155939,MNJ.10
1,S6,27,0.004850765357913798,MNJ.10
1,N1,5,0.0012888665846703107,MNJ.05
1,N1,13,0.0019741770684989952,MNJ.05
1,N1,18,0.0016465864375598005,MNJ.05
1,N1,27,7.290232113208979e-4,MNJ.05
1,N2,5,7.718084974077103e-4,MNJ.04
1,N2,13,0.0011823539017707574,MNJ.04
1,N2,18,9.860917680270624e-4,MNJ.04
1,N2,27,4.3650992478520725e-4,MNJ.04
1,N3,5,0.001097667668501189,MNJ.03
1,N3,13,0.00168140031359671,MNJ.03
1,N3,18,0.0014023582808791522,MNJ.03
1,N3,27,6.208493165313504e-4,MNJ.03
1,N4,5,0.0013549278311170648,MNJ.02
1,N4,13,0.0020753275979576847,MNJ.02
1,N4,18,0.0017309668283489773,MNJ.02
1,N4,27,7.664005270146281e-4,MNJ.02
1,N5,5,0.007293705762384726,MNJ.01
1,N5,13,0.011154000089844688,MNJ.01
1,N5,18,0.009310256396271385,MNJ.01
1,N5,27,0.004130950875269986,MNJ.01
