COUNTRY,ISO3,n.ib.storms,inc,cases
Philippines,PHL,454,0.12,10609
Mexico,MEX,425,0.06,242
India,IND,322,2.56,4265027
Vietnam,VNM,298,0.006,453
Laos,LAO,173,0.95,6403
Madagascar,MDG,154,120.2,4911293
Thailand,THA,124,0.46,2219
South Korea,KOR,110,0.11,274
Myanmar,MMR,97,12.37,292857
Bangladesh,BGD,94,1.22,8974
Vanuatu,VUT,87,6.23,576
Indonesia,IDN,79,4.19,811636
Mozambique,MOZ,71,316.7,10283922
Cambodia,KHM,71,1.48,19064
Solomon Islands,SLB,59,223.5,151437
North Korea,PRK,58,0.21,2357
Honduras,HND,56,0.38,2290
Nicaragua,NIC,46,3.34,29457
Guatemala,GTM,45,0.14,1493
Dominican Republic,DOM,42,0.052,378
Papua New Guinea,PNG,37,163.7,1237112
Haiti,HTI,37,3.38,22546
Pakistan,PAK,23,11.45,505620
Colombia,COL,23,8.85,102418
Somalia,SOM,16,58.98,1131892
Yemen,YEM,15,40.98,979967
Zimbabwe,ZWE,14,28.46,342543
Venezuela,VEN,14,10.9,204683
Comoros,COM,13,24.71,10537
Malawi,MWI,11,219.2,4359158
South Africa,ZAF,10,0.34,2958
Costa Rica,CRI,9,0.22,189
Senegal,SEN,8,48.02,995763
Gambia,GMB,6,93.06,213311
Tanzania,TZA,5,121.5,7997711
Botswana,BWA,5,0.31,1067
Nepal,NPL,5,0.004,106
Ethiopia,ETH,4,60.86,3783896
Guinea-Bissau,GNB,4,107,216542
Iran,IRN,4,1.59,0
Panama,PAN,3,2.26,4585
Brazil,BRA,2,3.44,162016
Namibia,NAM,2,8.29,21322
Eswatini,SWZ,2,0.64,306
Mali,MLI,1,353.6,7744735
Guinea,GIN,1,315.3,4477687
Afghanistan,AFG,1,9.06,193232
Mauritania,MRT,1,44.85,85030
Djibouti,DJI,1,48.36,58445
Guyana,GUY,1,32.74,25792
